This is the complete list of games supported by MAME 0.37 BETA 1 (Apr  6 2000)
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Super Bond                       |  Yes  |  Yes  |  Yes  |  Yes  | superbon |
| Super Breakout                   |  Yes  |  Yes  |  Yes  |  Yes  | sbrkout  |
| Super Burger Time                |  Yes  |  Yes  |  Yes  |   No  | supbtime |
| Super Casino                     |  Yes  |  Yes  |  Yes  |  Yes  | sucasino |
| Super Champion Baseball          |   No  |  Yes  |  Yes  |   No  | sbasebal |
| Super Cobra                      |  Yes  |  Yes  |  Yes  |  Yes  | scobra   |
| Super Contra                     |  Yes  |  Yes  |  Yes  |  Yes  | scontra  |
| Super Dodge Ball / Kunio no Nekke|  Yes  |  Yes  |  Yes  |  Yes  | sdodgeb  |
| Super Hang-On                    | No(1) |  Yes  |  Yes  |  Yes  | shangon  |
| Super High Impact                |   No  |  Yes  |  Yes  |  Yes  | shimpact |
| Super Locomotive                 |  Yes  |  Yes  |  Yes  |  Yes  | suprloco |
| Super Marukin-Ban                |  Yes  |  Yes  |  Yes  |  Yes  | marukin  |
| Super Mouse                      |  Yes  |   No  |  Yes  |  Yes  | suprmous |
| Super Pac-Man                    |  Yes  |  Yes  |  Yes  |   No  | superpac |
| Super Pang                       |  Yes  |  Yes  |  Yes  |  Yes  | spang    |
| Super Punch-Out!!                |  Yes  |  Yes  |  Yes  |  Yes  | spnchout |
| Super Qix                        | No(1) |  Yes  |  Yes  |   No  | superqix |
| Super Real Darwin                |  Yes  |  Yes  |  Yes  |  Yes  | srdarwin |
| Super Sidekicks / Tokuten Ou     |  Yes  |  Yes  |  Yes  |  Yes  | ssideki  |
| Super Sidekicks 2 - The World Cha|  Yes  |  Yes  |  Yes  |  Yes  | ssideki2 |
| Super Sidekicks 3 - The Next Glor|  Yes  |  Yes  |  Yes  |  Yes  | ssideki3 |
| Super Space Invaders '91         |  Yes  |  Yes  |  Yes  |   No  | ssi      |
| Super Sprint                     |  Yes  |  Yes  |  Yes  |  Yes  | ssprint  |
| Super Spy, The                   |  Yes  |  Yes  |  Yes  |  Yes  | superspy |
| Super Volleyball                 |  Yes  |  Yes  |  Yes  |  Yes  | svolley  |
| Super World Stadium '92          |  Yes  |  Yes  |  Yes  |  Yes  | sws92    |
| Super Zaxxon                     |  Yes  |  Yes  | Yes(2)|   No  | szaxxon  |
| Superman                         |  Yes  |  Yes  |  Yes  |   No  | superman |
| Surprise Attack                  |  Yes  |  Yes  |  Yes  |  Yes  | surpratk |
| SWAT                             |  Yes  |  Yes  |  Yes  |   No  | swat     |
| Swimmer                          |  Yes  |  Yes  |  Yes  |  Yes  | swimmer  |
| Syougi No Tatsujin - Master of Sy|  Yes  |  Yes  |  Yes  |  Yes  | mosyougi |
| Syusse Oozumou                   |  Yes  |  Yes  |  Yes  |   No  | ssozumo  |
| Tac/Scan                         |  Yes  |  Yes  | Yes(2)|  Yes  | tacscan  |
| Tailgunner                       |  Yes  |  Yes  | Yes(2)|  Yes  | tailg    |
| Takeda Shingen                   |  Yes  |  Yes  |  Yes  |  Yes  | tshingen |
| Tank Battalion                   |  Yes  |  Yes  | Yes(2)|  Yes  | tankbatt |
| Tank Force                       |  Yes  |  Yes  |  Yes  |  Yes  | tankfrce |
| Tapper                           |  Yes  |  Yes  |  Yes  |  Yes  | tapper   |
| Targ                             |  Yes  |  Yes  | Yes(2)|  Yes  | targ     |
| Tazz-Mania                       |  Yes  |  Yes  |  Yes  |  Yes  | tazmania |
| Tecmo Knight                     |  Yes  |  Yes  |  Yes  |  Yes  | tknight  |
| Tecmo World Soccer '96           |  Yes  |  Yes  |  Yes  |  Yes  | tws96    |
| TeddyBoy Blues                   |  Yes  |  Yes  |  Yes  |   No  | teddybb  |
| Tee'd Off                        |   No  |  Yes  |  Yes  |  Yes  | teedoff  |
| Teenage Mutant Ninja Turtles     |  Yes  |  Yes  |  Yes  |  Yes  | tmnt     |
| Teenage Mutant Ninja Turtles - Tu|  Yes  | Close |  Yes  |  Yes  | tmnt2    |
| Tehkan World Cup                 |  Yes  |  Yes  |  Yes  |  Yes  | tehkanwc |
| Teki Paki                        |  Yes  |  Yes  |   No  |  Yes  | tekipaki |
| Tempest                          |  Yes  |  Yes  |  Yes  |  Yes  | tempest  |
| Tenchi wo Kurau                  |  Yes  |  Yes  |  Yes  |  Yes  | dwj      |
| Terminator 2 - Judgment Day      |   No  |  Yes  |  Yes  |  Yes  | term2    |
| Terra Cresta                     |  Yes  |  Yes  |  Yes  |  Yes  | terracre |
| Terra Force                      |  Yes  |  Yes  |  Yes  |   No  | terraf   |
| Tetris                           |  Yes  |  Yes  |  Yes  |  Yes  | atetris  |
| Tetris                           | No(1) |  Yes  |  Yes  |  Yes  | tetris   |
| Thrash Rally                     |  Yes  |  Yes  |  Yes  |  Yes  | trally   |
| Three Stooges                    |  Yes  |  Yes  |Partial|  Yes  | 3stooges |
| Three Wonders                    |  Yes  |  Yes  |  Yes  |  Yes  | 3wonders |
| Thunder Cross                    |   No  |  Yes  |  Yes  |  Yes  | thunderx |
| Thunder Cross II                 |  Yes  |  Yes  |  Yes  |  Yes  | thndrx2  |
| Thundercade                      |  Yes  |  Yes  |Partial|  Yes  | tndrcade |
| ThunderJaws                      |  Yes  |  Yes  |  Yes  |  Yes  | thunderj |
| Tiger Heli                       | No(1) |  Yes  |  Yes  |   No  | tigerh   |
| Tiger Road                       |  Yes  |  Yes  |  Yes  |   No  | tigeroad |
| Timber                           |  Yes  |  Yes  |  Yes  |  Yes  | timber   |
| Time Pilot                       |  Yes  |  Yes  |  Yes  |  Yes  | timeplt  |
| Time Pilot '84                   |  Yes  |  Yes  |  Yes  |   No  | tp84     |
| Time Scanner                     |  Yes  |  Yes  |  Yes  |  Yes  | timscanr |
| Time Soldiers                    |  Yes  |  Yes  |  Yes  |   No  | timesold |
| Time Tunnel                      |  Yes  |  Yes  |  Yes  |  Yes  | timetunl |
| Tin Star, The                    |  Yes  |  Yes  |  Yes  |  Yes  | tinstar  |
| TNK III                          |  Yes  |  Yes  |  Yes  |   No  | tnk3     |
| Toggle                           |  Yes  |  Yes  |  Yes  |  Yes  | toggle   |
| Toki                             | No(1) |  Yes  |  Yes  |   No  | toki     |
| Toki no Senshi - Chrono Soldier  |  Yes  |  Yes  |  Yes  |   No  | tokisens |
| Tokio / Scramble Formation       | No(1) |  Yes  |  Yes  |   No  | tokio    |
| Tomahawk 777                     |  Yes  |  Yes  | Yes(2)|  Yes  | tomahawk |
| Toobin'                          |  Yes  |  Yes  |  Yes  |  Yes  | toobin   |
| Top Hunter - Roddy & Cathy       |  Yes  |  Yes  |  Yes  |  Yes  | tophuntr |
| Top Player's Golf                |  Yes  |  Yes  |  Yes  |  Yes  | tpgolf   |
| Top Secret                       |  Yes  |  Yes  |  Yes  |  Yes  | topsecex |
| Tornado Baseball                 |  Yes  |  Yes  |   No  |  Yes  | tornbase |
| Toryumon                         |  Yes  |  Yes  |  Yes  |  Yes  | toryumon |
| Total Carnage                    |  Yes  |  Yes  |  Yes  |  Yes  | totcarn  |
| TouchDown Fever                  |  Yes  |  Yes  |  Yes  |   No  | tdfever  |
| Tough Turf                       |  Yes  |  Yes  |   No  |  Yes  | tturf    |
| Tougyuu, The                     |  Yes  |  Yes  |  Yes  |   No  | bullfgtj |
| Tower of Druaga                  |  Yes  |  Yes  |  Yes  |  Yes  | todruaga |
| Track & Field                    |  Yes  |  Yes  |  Yes  |  Yes  | trackfld |
| Tranquilizer Gun                 |  Yes  |  Yes  |   No  |  Yes  | tranqgun |
| Traverse USA / Zippy Race        |  Yes  |  Yes  |  Yes  |  Yes  | travrusa |
| Tri-Sports                       |  Yes  |  Yes  |  Yes  |  Yes  | trisport |
| Trio The Punch - Never Forget Me.|  Yes  |  Yes  |  Yes  |  Yes  | triothep |
| Triple Punch                     |  Yes  |  Yes  |  Yes  |  Yes  | triplep  |
| Trivial Pursuit                  |  Yes  |  Yes  |  Yes  |  Yes  | triviabb |
| Trivial Pursuit                  |  Yes  |  Yes  |  Yes  |  Yes  | triviag1 |
| Trivial Pursuit                  |  Yes  |  Yes  |  Yes  |  Yes  | triviag2 |
| Trivial Pursuit                  |  Yes  |  Yes  |  Yes  |  Yes  | triviasp |
| Trivial Pursuit                  |  Yes  |  Yes  |  Yes  |  Yes  | triviayp |
| Trog                             |  Yes  |  Yes  |  Yes  |  Yes  | trog     |
| Trojan                           |  Yes  |  Yes  |  Yes  |  Yes  | trojan   |
| Tron                             |  Yes  |  Yes  |  Yes  |  Yes  | tron     |
| Tropical Angel                   |  Yes  |  Yes  |  Yes  |  Yes  | troangel |
| Truxton / Tatsujin               |  Yes  |  Yes  |  Yes  |  Yes  | truxton  |
| Tumble Pop                       |  Yes  |  Yes  |  Yes  |  Yes  | tumblep  |
| Turbo                            |  Yes  |  Yes  | Yes(2)|   No  | turbo    |
| Turbo Force                      |  Yes  |  Yes  |  Yes  |   No  | turbofrc |
| Turbo Tag                        |  Yes  |  Yes  |  Yes  |  Yes  | turbotag |
| Turkey Shoot                     |  Yes  |  Yes  |  Yes  |  Yes  | tshoot   |
| Turtle Ship                      |  Yes  |  Yes  |  Yes  |   No  | turtship |
| Turtles                          |  Yes  |  Yes  |  Yes  |  Yes  | turtles  |
| Tutankham                        |  Yes  |  Yes  |  Yes  |  Yes  | tutankhm |
| Twin Cobra                       |  Yes  |  Yes  |  Yes  |  Yes  | twincobr |
| Twin Eagle                       |  Yes  |  Yes  |Partial|  Yes  | twineagl |
| TwinBee                          |  Yes  |  Yes  |  Yes  |  Yes  | twinbee  |
| Twinkle Star Sprites             |  Yes  |  Yes  |  Yes  |  Yes  | twinspri |
| Two Tigers                       |  Yes  |  Yes  |  Yes  |  Yes  | twotiger |
| U.N. Squadron                    |  Yes  |  Yes  |  Yes  |  Yes  | unsquad  |
| U.S. Classic                     |  Yes  |   No  |Partial|  Yes  | usclssic |
| Ufo Senshi Yohko Chan            |   No  |  Yes  |  Yes  |   No  | ufosensi |
| Ultimate 11 / Tokuten Ou - Honoo |  Yes  |  Yes  |  Yes  |  Yes  | ssideki4 |
| Ultraman                         |  Yes  |  Yes  |  Yes  |  Yes  | ultraman |
| Undercover Cops                  |  Yes  |  Yes  |   No  |   No  | uccops   |
| UniWar S                         |  Yes  |  Yes  |  Yes  |  Yes  | uniwars  |
| Up'n Down                        |  Yes  |  Yes  |  Yes  |   No  | upndown  |
| Us vs. Them                      |   No  |  Yes  |  Yes  |  Yes  | usvsthem |
| V-Five                           |  Yes  |  Yes  |   No  |  Yes  | vfive    |
| Van Van Car                      |  Yes  |  Yes  |  Yes  |  Yes  | vanvan   |
| Vanguard                         |  Yes  |  Yes  |Partial|  Yes  | vanguard |
| Vanguard II                      |  Yes  |  Yes  |  Yes  |  Yes  | vangrd2  |
| Vapor Trail - Hyper Offence Forma|  Yes  |  Yes  |  Yes  |  Yes  | vaportra |
| Varth - Operation Thunderstorm   |  Yes  |  Yes  |  Yes  |  Yes  | varth    |
| Vastar                           |  Yes  |  Yes  |  Yes  |   No  | vastar   |
| Vendetta                         |  Yes  |  Yes  |  Yes  |  Yes  | vendetta |
| Venture                          |  Yes  |  Yes  |Partial|  Yes  | venture  |
| Victory Road                     |  Yes  |  Yes  |  Yes  |   No  | victroad |
| Video Hustler                    |  Yes  |  Yes  |  Yes  |  Yes  | hustler  |
| Viewpoint                        |  Yes  |  Yes  |  Yes  |  Yes  | viewpoin |
| Vigilante                        |  Yes  |  Yes  |  Yes  |   No  | vigilant |
| Vimana                           |  Yes  |  Yes  |   No  |  Yes  | vimana   |
| Vindicators                      |  Yes  |  Yes  |  Yes  |  Yes  | vindictr |
| Vindicators Part II              |  Yes  |  Yes  |  Yes  |  Yes  | vindctr2 |
| Voltage Fighter - Gowcaizer / Cho|  Yes  |  Yes  |  Yes  |  Yes  | gowcaizr |
| Vulcan Venture                   |  Yes  |  Yes  |  Yes  |  Yes  | vulcan   |
| Vulgus                           |  Yes  |  Yes  |  Yes  |   No  | vulgus   |
| Wacko                            |  Yes  |  Yes  |  Yes  |  Yes  | wacko    |
| Waku Waku 7                      |  Yes  |  Yes  |  Yes  |  Yes  | wakuwak7 |
| Wanted                           |  Yes  |  Yes  |  Yes  |  Yes  | wanted   |
| War of Aero - Project MEIOU      |  Yes  |  Yes  |Partial|  Yes  | wrofaero |
| War of the Bugs                  |  Yes  |  Yes  |  Yes  |  Yes  | warofbug |
| War of the Worlds                |  Yes  | Close | Yes(2)|  Yes  | wotw     |
| Wardner                          |  Yes  |  Yes  |  Yes  |  Yes  | wardner  |
| Warlords                         |  Yes  |  Yes  |  Yes  |  Yes  | warlord  |
| Warp & Warp                      |  Yes  |  Yes  |  Yes  |   No  | warpwarp |
| Warrior                          |  Yes  |  Yes  | Yes(2)|  Yes  | warrior  |
| Warriors of Fate                 |  Yes  |  Yes  |  Yes  |  Yes  | wof      |
| Water Ski                        |  Yes  |  Yes  |  Yes  |  Yes  | waterski |
| WEC Le Mans 24                   |  Yes  |   No  |  Yes  |  Yes  | wecleman |
| Who Dunit                        |  Yes  |  Yes  |  Yes  |  Yes  | whodunit |
| Wild Western                     |  Yes  |  Yes  |  Yes  |  Yes  | wwestern |
| Willow                           |  Yes  |  Yes  |  Yes  |  Yes  | willow   |
| Windjammers / Flying Power Disc  |  Yes  |  Yes  |  Yes  |  Yes  | wjammers |
| Wiping                           |  Yes  |  Yes  |  Yes  |  Yes  | wiping   |
| Wiz                              |  Yes  | Close |  Yes  |  Yes  | wiz      |
| Wizard of Wor                    |  Yes  |  Yes  |  Yes  |  Yes  | wow      |
| Wonder Boy                       |  Yes  |  Yes  |  Yes  |   No  | wboy     |
| Wonder Boy III - Monster Lair    |  Yes  |  Yes  |  Yes  |  Yes  | wb3      |
| Wonder Boy in Monster Land       |  Yes  |  Yes  |  Yes  |   No  | wbml     |
| Wonder Momo                      |  Yes  |  Yes  |  Yes  |  Yes  | wndrmomo |
| World Court                      |  Yes  |  Yes  |  Yes  |  Yes  | wldcourt |
| World Cup 90                     |  Yes  |  Yes  |Partial|   No  | wc90     |
| World Heroes                     |  Yes  |  Yes  |  Yes  |  Yes  | wh1      |
| World Heroes 2                   |  Yes  |  Yes  |  Yes  |  Yes  | wh2      |
| World Heroes 2 Jet               |  Yes  |  Yes  |  Yes  |  Yes  | wh2j     |
| World Heroes Perfect             |  Yes  |  Yes  |  Yes  |  Yes  | whp      |
| World Stadium                    |  Yes  |  Yes  |  Yes  |  Yes  | ws       |
| World Tennis                     |  Yes  | Close |  Yes  |  Yes  | wtennis  |
| Wrestle War                      |  Yes  |  Yes  |  Yes  |  Yes  | wrestwar |
| X Multiply                       |  Yes  |  Yes  |  Yes  |   No  | xmultipl |
| X-Men                            |  Yes  |  Yes  |Partial|  Yes  | xmen     |
| Xain'd Sleena                    |  Yes  |  Yes  |  Yes  |  Yes  | xsleena  |
| Xenophobe                        |  Yes  |  Yes  |  Yes  |  Yes  | xenophob |
| Xevious                          |  Yes  |  Yes  | Yes(2)|  Yes  | xevious  |
| Xybots                           |  Yes  |  Yes  |  Yes  |  Yes  | xybots   |
| Yam! Yam!?                       |  Yes  |  Yes  |  Yes  |  Yes  | yamyam   |
| Yamato                           |  Yes  |  Yes  |  Yes  |  Yes  | yamato   |
| Yie Ar Kung-Fu                   |  Yes  |  Yes  |  Yes  |  Yes  | yiear    |
| Yosaku To Donbee                 |  Yes  |  Yes  |   No  |  Yes  | yosakdon |
| Zaxxon                           |  Yes  |  Yes  | Yes(2)|   No  | zaxxon   |
| Zed Blade / Operation Ragnarok   |  Yes  |  Yes  |  Yes  |  Yes  | zedblade |
| Zektor                           |  Yes  |  Yes  | Yes(2)|  Yes  | zektor   |
| Zero Wing                        |  Yes  |  Yes  |  Yes  |  Yes  | zerowing |
| Zero Zone                        |  Yes  |  Yes  |  Yes  |  Yes  | zerozone |
| Zig Zag                          |  Yes  |  Yes  |  Yes  |  Yes  | zigzag   |
| Zing Zing Zip                    |  Yes  |  Yes  |Partial|  Yes  | zingzip  |
| Zoar                             |  Yes  |  Yes  |  Yes  |  Yes  | zoar     |
| Zodiack                          |  Yes  | Close |  Yes  |  Yes  | zodiack  |
| Zoo Keeper                       |  Yes  |  Yes  |  Yes  |   No  | zookeep  |
| Zwackery                         |  Yes  |  Yes  |  Yes  |  Yes  | zwackery |
| Zzyzzyxx                         |  Yes  |  Yes  |  Yes  |  Yes  | zzyzzyxx |
+----------------------------------+-------+-------+-------+-------+----------+

(1) There are variants of the game (usually bootlegs) that work correctly
(2) Needs samples provided separately
