This is the complete list of games supported by MAME 0.95 (Mar 27 2005).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Sparkz                           |  Yes  |  Yes  |  Yes  |  Yes  | sparkz   |
| Spatter                          |  Yes  |  Yes  |  Yes  |  Yes  | spatter  |
| Speak & Rescue                   |  Yes  |  Yes  |  Yes  |  Yes  | speakres |
| Special Criminal Investigation   |  Yes  |  Yes  |  Yes  |  Yes  | sci      |
| Special Forces                   |  Yes  |  Yes  |   No  |  Yes  | spclforc |
| Special Forces II                |  Yes  |  Yes  |   No  |  Yes  | spcfrcii |
| Spectar                          |  Yes  |  Yes  | Yes(2)|  Yes  | spectar  |
| Speed Attack!                    |  Yes  |  Yes  |  Yes  |  Yes  | speedatk |
| Speed Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | speedbal |
| Speed Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | spdball  |
| Speed Coin                       |  Yes  |  Yes  |  Yes  |  Yes  | spdcoin  |
| Speed Freak                      |  Yes  |  Yes  |   No  |  Yes  | speedfrk |
| Speed Racer                      |   No  |  Yes  |   No  |  Yes  | speedrcr |
| Speed Rumbler, The               |  Yes  |  Yes  |  Yes  |  Yes  | srumbler |
| Speed Spin                       |  Yes  |  Yes  |  Yes  |  Yes  | speedspn |
| Speed Up                         |   No  |  Yes  |  Yes  |  Yes  | speedup  |
| Spelunker                        |  Yes  |  Yes  |  Yes  |  Yes  | spelunkr |
| Spelunker II                     |  Yes  |  Yes  |  Yes  |  Yes  | spelunk2 |
| Spider-Man: The Videogame        |  Yes  |  Yes  |  Yes  |  Yes  | spidey   |
| Spiders                          |  Yes  |  Yes  |   No  |   No  | spiders  |
| Spiker                           |  Yes  |  Yes  |  Yes  |  Yes  | spiker   |
| Spin Master / Miracle Adventure  |  Yes  |  Yes  |  Yes  |  Yes  | spinmast |
| Spinal Breakers                  |  Yes  |  Yes  |  Yes  |   No  | spinlbrk |
| Splash!                          |  Yes  |  Yes  |  Yes  |  Yes  | splash   |
| Splat!                           |  Yes  |  Yes  |  Yes  |  Yes  | splat    |
| Splatter House                   |  Yes  |  Yes  |  Yes  |  Yes  | splatter |
| Splendor Blast                   |   No  |  Yes  |  Yes  |   No  | splndrbt |
| Sport Fishing 2                  |   No  |  Yes  |   No  |  Yes  | sfish2   |
| SportTime Bowling                |  Yes  |  Yes  |   No  |  Yes  | ar_bowl  |
| SportTime Table Hockey           |  Yes  |  Yes  |   No  |  Yes  | ar_airh  |
| Spot                             |  Yes  |  Yes  |   No  |  Yes  | ar_spot  |
| Springer                         |  Yes  |  Yes  |  Yes  |  Yes  | springer |
| Sprint 1                         |  Yes  |  Yes  |  Yes  |  Yes  | sprint1  |
| Sprint 4                         |  Yes  |  Yes  |   No  |  Yes  | sprint4  |
| Sprint 8                         |  Yes  |  Yes  |   No  |  Yes  | sprint8  |
| Spy Hunter                       |  Yes  |  Yes  |  Yes  |  Yes  | spyhunt  |
| Spy Hunter 2                     |  Yes  |  Yes  |  Yes  |  Yes  | spyhunt2 |
| Squash                           |   No  |  Yes  |  Yes  |  Yes  | squash   |
| Stack Columns                    |  Yes  |  Yes  |  Yes  |  Yes  | stkclmns |
| Stadium Cross                    |  Yes  |  Yes  |  Yes  |  Yes  | scross   |
| Stadium Hero                     |  Yes  |  Yes  |  Yes  |  Yes  | stadhero |
| Stadium Hero 96                  |   No  |  Yes  |  Yes  |  Yes  | stadhr96 |
| Stagger I                        |   No  |  Yes  |  Yes  |  Yes  | stagger1 |
| Stakes Winner / Stakes Winner - G|  Yes  |  Yes  |  Yes  |  Yes  | stakwin  |
| Stakes Winner 2                  |  Yes  |  Yes  |  Yes  |  Yes  | stakwin2 |
| Star Castle                      |  Yes  |  Yes  | Yes(2)|  Yes  | starcas  |
| Star Cruiser                     |  Yes  |  Yes  | Yes(2)|  Yes  | starcrus |
| Star Fighter                     |   No  |  Yes  |  Yes  |  Yes  | starfigh |
| Star Fire                        |  Yes  |  Yes  |   No  |  Yes  | starfire |
| Star Fire 2                      |  Yes  |  Yes  |   No  |  Yes  | starfir2 |
| Star Force                       |  Yes  |  Yes  |  Yes  |  Yes  | starforc |
| Star Gladiator                   |  Yes  |  Yes  |Partial|  Yes  | starglad |
| Star Guards                      |  Yes  |  Yes  |  Yes  |  Yes  | stargrds |
| Star Hawk                        |  Yes  |  Yes  | Yes(2)|  Yes  | starhawk |
| Star Jacker                      |  Yes  |  Yes  |  Yes  |  Yes  | starjack |
| Star Sweep                       |  Yes  |  Yes  |   No  |  Yes  | starswep |
| Star Trek                        |  Yes  |  Yes  | Yes(2)|  Yes  | startrek |
| Star Wars                        |  Yes  |  Yes  |  Yes  |  Yes  | starwars |
| Star Wars Arcade                 |   No  |  Yes  |   No  |  Yes  | swa      |
| Star Wars Trilogy                |   No  |  Yes  |   No  |  Yes  | swtrilgy |
| Starblade                        |  Yes  |  Yes  |  Yes  |  Yes  | starblad |
| Stargate                         |  Yes  |  Yes  |  Yes  |  Yes  | stargate |
| Starship 1                       |  Yes  |  Yes  |   No  |  Yes  | starshp1 |
| Steel Force                      |  Yes  |  Yes  |  Yes  |  Yes  | stlforce |
| Steel Gunner                     |  Yes  |  Yes  |  Yes  |  Yes  | sgunner  |
| Steel Gunner 2                   |  Yes  |  Yes  |  Yes  |  Yes  | sgunner2 |
| Steel Talons                     |  Yes  |  Yes  |  Yes  |  Yes  | steeltal |
| Steep Slope Sliders              |  Yes  |  Yes  |Partial|  Yes  | sss      |
| Stinger                          |  Yes  |  Yes  |Partial|  Yes  | stinger  |
| Stocker                          |  Yes  |  Yes  |  Yes  |  Yes  | stocker  |
| Stompin'                         |  Yes  |  Yes  |  Yes  |  Yes  | stompin  |
| Stone Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | stonebal |
| Storm Blade                      |  Yes  |  Yes  |  Yes  |   No  | stmblade |
| Straight Flush                   |  Yes  | Close |   No  |   No  | sflush   |
| Strata Bowling                   |  Yes  |  Yes  |  Yes  |  Yes  | stratab  |
| Strategy X                       |  Yes  |  Yes  |  Yes  |  Yes  | stratgyx |
| Streaking                        |  Yes  | Close |  Yes  |  Yes  | streakng |
| Street Drivin'                   |  Yes  |  Yes  |   No  |  Yes  | strtdriv |
| Street Fighter                   |  Yes  |  Yes  |  Yes  |  Yes  | sf       |
| Street Fighter Alpha 2           |  Yes  |  Yes  |  Yes  |  Yes  | sfa2     |
| Street Fighter Alpha 3           |  Yes  |  Yes  |  Yes  |  Yes  | sfa3     |
| Street Fighter Alpha: Warriors' D|  Yes  |  Yes  |  Yes  |  Yes  | sfa      |
| Street Fighter EX                |  Yes  |  Yes  |Partial|  Yes  | sfex     |
| Street Fighter EX 2              |  Yes  |  Yes  |Partial|  Yes  | sfex2    |
| Street Fighter EX 2 Plus         |  Yes  |  Yes  |Partial|  Yes  | sfex2p   |
| Street Fighter EX Plus           |  Yes  |  Yes  |Partial|  Yes  | sfexp    |
| Street Fighter II - The World War|  Yes  |  Yes  |  Yes  |  Yes  | sf2      |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2ce    |
| Street Fighter III - New Generati|   No  |  Yes  |   No  |  Yes  | sfiii    |
| Street Fighter III 2nd Impact - G|   No  |  Yes  |   No  |  Yes  | sfiii2   |
| Street Fighter III 3rd Strike - F|   No  |  Yes  |   No  |  Yes  | sfiii3   |
| Street Fighter: The Movie        |  Yes  |  Yes  |  Yes  |  Yes  | sftm     |
| Street Football                  |  Yes  |  Yes  |  Yes  |  Yes  | sfootbal |
| Street Heat - Cardinal Amusements|  Yes  |  Yes  |   No  |  Yes  | strtheat |
| Street Hoop / Street Slam / Dunk |  Yes  |  Yes  |  Yes  |  Yes  | strhoop  |
| Street Smart                     |  Yes  |  Yes  |  Yes  |  Yes  | streetsm |
| Streets of Rage II               |  Yes  |  Yes  |  Yes  |  Yes  | mp_sor2  |
| Strength & Skill                 |  Yes  |  Yes  |  Yes  |  Yes  | strnskil |
| Strider                          |  Yes  |  Yes  |  Yes  |  Yes  | strider  |
| Strider 2                        |  Yes  |  Yes  |Partial|  Yes  | strider2 |
| Strike Bowling                   |  Yes  |  Yes  |Partial|  Yes  | sbowling |
| Strike Fighter                   |  Yes  |  Yes  |  Yes  |  Yes  | strkfgtr |
| Strike Force                     |  Yes  |  Yes  |  Yes  |  Yes  | strkforc |
| Strike Gunner S.T.G              |  Yes  |  Yes  |  Yes  |  Yes  | stg      |
| Strike Zone Baseball             |  Yes  |  Yes  |  Yes  |  Yes  | strkzone |
| Strikers 1945                    |  Yes  |  Yes  |  Yes  |  Yes  | s1945    |
| Strikers 1945 II                 |  Yes  |  Yes  |  Yes  |  Yes  | s1945ii  |
| Strikers 1945 III                |  Yes  |  Yes  |  Yes  |  Yes  | s1945iii |
| Strikers 1945 Plus               |  Yes  |  Yes  |  Yes  |  Yes  | s1945p   |
| Subroc-3D                        |  Yes  |  Yes  | Yes(2)|  Yes  | subroc3d |
| Subs                             |  Yes  |  Yes  |Partial|  Yes  | subs     |
| Suikoenbu                        |   No  |  Yes  |Partial|  Yes  | suikoenb |
| Sukeban Jansi Ryuko              |  Yes  |  Yes  |  Yes  |  Yes  | sjryuko  |
| Sundance                         |  Yes  |  Yes  | Yes(2)|  Yes  | sundance |
| Sunset Riders                    |  Yes  |  Yes  |  Yes  |  Yes  | ssriders |
| Super Astro Fighter              |  Yes  |  Yes  |  Yes  |  Yes  | csuperas |
| Super Bagman                     |  Yes  |  Yes  |  Yes  |  Yes  | sbagman  |
| Super Baseball Double Play Home R|  Yes  |  Yes  |  Yes  |  Yes  | dblplay  |
| Super Basketball                 |  Yes  |  Yes  |  Yes  |  Yes  | sbasketb |
| Super Bond                       |  Yes  |   No  |  Yes  |  Yes  | superbon |
| Super Breakout                   |  Yes  |  Yes  |  Yes  |  Yes  | sbrkout  |
| Super Bug                        |  Yes  |  Yes  |  Yes  |  Yes  | superbug |
| Super Burger Time                |  Yes  |  Yes  |  Yes  |  Yes  | supbtime |
| Super C                          |  Yes  |  Yes  |  Yes  |  Yes  | pc_suprc |
| Super Casino                     |  Yes  |  Yes  |  Yes  |  Yes  | sucasino |
| Super Champion Baseball          |  Yes  |  Yes  |  Yes  |  Yes  | sbasebal |
| Super Chase - Criminal Terminatio|  Yes  |  Yes  |  Yes  |  Yes  | superchs |
| Super Cobra                      |  Yes  |  Yes  |  Yes  |  Yes  | scobra   |
| Super Contra                     |  Yes  |  Yes  |  Yes  |  Yes  | scontra  |
| Super Cross 2                    |  Yes  |  Yes  |  Yes  |  Yes  | sprcros2 |
| Super Crown Golf                 |   No  |  Yes  |  Yes  |  Yes  | suprgolf |
| Super Cup Finals                 |  Yes  |  Yes  |  Yes  |  Yes  | scfinals |
| Super Dodge Ball                 |  Yes  |  Yes  |  Yes  |  Yes  | spdodgeb |
| Super Dodge Ball / Kunio no Nekke|  Yes  |  Yes  |  Yes  |  Yes  | sdodgeb  |
| Super Doubles Tennis             |  Yes  |  Yes  |  Yes  |  Yes  | sdtennis |
| Super Draw Poker                 |   No  |  Yes  |  Yes  |  Yes  | supdrapo |
| Super Duper Casino               |  Yes  |  Yes  |  Yes  |  Yes  | usg32    |
| Super Eagle Shot                 |   No  |  Yes  |  Yes  |  Yes  | speglsht |
| Super Football Champ             |   No  |  Yes  |Partial|  Yes  | sfchamp  |
| Super GT 24h                     |   No  |  Yes  |  Yes  |  Yes  | sgt24h   |
| Super Gem Fighter Mini Mix       |  Yes  |  Yes  |  Yes  |  Yes  | sgemf    |
| Super Glob                       |  Yes  |  Yes  |  Yes  |  Yes  | suprglob |
| Super Hang-On                    |  Yes  |  Yes  |  Yes  |  Yes  | shangon  |
| Super Hang-On                    |   No  |  Yes  |  Yes  |  Yes  | mt_shang |
| Super High Impact                |   No  |  Yes  |  Yes  |  Yes  | shimpact |
| Super Invader Attack             |  Yes  |  Yes  |   No  |  Yes  | sia2650  |
| Super League                     |   No  |  Yes  |  Yes  |  Yes  | suprleag |
| Super Locomotive                 |  Yes  |  Yes  |  Yes  |  Yes  | suprloco |
| Super Lup Lup Puzzle / Zhuan Zhua|  Yes  |  Yes  |  Yes  |  Yes  | suplup   |
| Super Major League               |   No  |  Yes  |Partial|  Yes  | smleague |
| Super Mario Bros.                |  Yes  |  Yes  |  Yes  |  Yes  | pc_smb   |
| Super Mario Bros. 2              |  Yes  |  Yes  |  Yes  |  Yes  | pc_smb2  |
| Super Mario Bros. 3              |  Yes  |  Yes  |  Yes  |  Yes  | pc_smb3  |
| Super Mario World                |   No  |  Yes  |   No  |  Yes  | nss_smw  |
| Super Marukin-Ban                |  Yes  |  Yes  |  Yes  |  Yes  | marukin  |
| Super Masters Golf               |   No  |  Yes  |  Yes  |  Yes  | sgmast   |
| Super Monaco GP                  |  Yes  |  Yes  |  Yes  |  Yes  | smgp     |
| Super Monaco GP                  |   No  |  Yes  |  Yes  |  Yes  | mt_smgp  |
| Super Pac-Man                    |  Yes  |  Yes  |  Yes  |  Yes  | superpac |
| Super Pang                       |  Yes  |  Yes  |  Yes  |  Yes  | spang    |
| Super Pinball Action             |  Yes  |  Yes  |  Yes  |  Yes  | spbactn  |
| Super Punch-Out!!                |  Yes  |  Yes  |  Yes  |  Yes  | spnchout |
| Super Puzzle Fighter II Turbo    |  Yes  |  Yes  |  Yes  |  Yes  | spf2t    |
| Super Qix                        |  Yes  |  Yes  |  Yes  |  Yes  | sqix     |
| Super Real Darwin                |  Yes  |  Yes  |  Yes  |  Yes  | srdarwin |
| Super Real Mahjong P5            |   No  |  Yes  |  Yes  |  Yes  | srmp5    |
| Super Real Mahjong P6            |   No  |  Yes  |   No  |  Yes  | srmp6    |
| Super Real Mahjong P7            |  Yes  |  Yes  |Partial|   No  | srmp7    |
| Super Real Mahjong PIV           |  Yes  |  Yes  |  Yes  |   No  | srmp4    |
| Super Real Mahjong Part 2        |  Yes  |  Yes  |  Yes  |  Yes  | srmp2    |
| Super Real Mahjong Part 3        |  Yes  |  Yes  |  Yes  |  Yes  | srmp3    |
| Super Rider                      |  Yes  |  Yes  |Partial|  Yes  | suprridr |
| Super Shanghai Dragon's Eye      | No(1) |  Yes  |   No  |  Yes  | sshangha |
| Super Sidekicks / Tokuten Ou     |  Yes  |  Yes  |  Yes  |  Yes  | ssideki  |
| Super Sidekicks 2 - The World Cha|  Yes  |  Yes  |  Yes  |  Yes  | ssideki2 |
| Super Sidekicks 3 - The Next Glor|  Yes  |  Yes  |  Yes  |  Yes  | ssideki3 |
| Super Slam                       |  Yes  |  Yes  |Partial|  Yes  | sslam    |
| Super Slams                      |  Yes  |  Yes  |  Yes  |  Yes  | suprslam |
| Super Soccer                     |   No  |  Yes  |   No  |  Yes  | nss_ssoc |
| Super Space Invaders '91         |  Yes  |  Yes  |  Yes  |  Yes  | ssi      |
| Super Spacefortress Macross / Cho|  Yes  |  Yes  |Partial|  Yes  | macross  |
| Super Spacefortress Macross II / |  Yes  |  Yes  |  Yes  |   No  | macross2 |
| Super Speed Race                 |  Yes  |  Yes  |   No  |  Yes  | sspeedr  |
| Super Speed Race Junior          |  Yes  |   No  |  Yes  |  Yes  | ssrj     |
| Super Sprint                     |  Yes  |  Yes  |  Yes  |  Yes  | ssprint  |
| Super Spy, The                   |  Yes  |  Yes  |  Yes  |  Yes  | superspy |
| Super Stingray                   |  Yes  |  Yes  |  Yes  |  Yes  | sstingry |
| Super Street Fighter II: The New |  Yes  |  Yes  |  Yes  |  Yes  | ssf2     |
| Super Strike Bowling             |   No  |  Yes  |  Yes  |  Yes  | sstrike  |
| Super Tank                       |  Yes  |  Yes  |  Yes  |  Yes  | supertnk |
| Super Tank Attack                |   No  |  Yes  |  Yes  |  Yes  | stankatk |
| Super Ten V8.3                   |  Yes  |  Yes  |  Yes  |  Yes  | usg83    |
| Super Tennis                     |   No  |  Yes  |   No  |  Yes  | nss_sten |
| Super Thunder Blade              |   No  |  Yes  |  Yes  |  Yes  | mt_stbld |
| Super Toffy                      |  Yes  |  Yes  |  Yes  |  Yes  | stoffy   |
| Super Trio                       |  Yes  |  Yes  |  Yes  |  Yes  | suprtrio |
| Super Triv II                    |  Yes  |  Yes  |  Yes  |  Yes  | supertr2 |
| Super Triv III                   |  Yes  |  Yes  |  Yes  |  Yes  | supertr3 |
| Super Trivia Master              |  Yes  |   No  |  Yes  |  Yes  | strvmstr |
| Super Visual Football: European S|  Yes  |  Yes  |  Yes  |  Yes  | svf      |
| Super Volleyball                 |  Yes  |  Yes  |  Yes  |  Yes  | svolley  |
| Super World Court                |  Yes  |  Yes  |Partial|  Yes  | swcourt  |
| Super World Stadium              |  Yes  |  Yes  |  Yes  |  Yes  | sws      |
| Super World Stadium '92          |  Yes  |  Yes  |  Yes  |  Yes  | sws92    |
| Super World Stadium '93          |  Yes  |  Yes  |  Yes  |  Yes  | sws93    |
| Super World Stadium '95          |  Yes  |  Yes  |   No  |  Yes  | sws95    |
| Super World Stadium '96          |  Yes  |  Yes  |   No  |  Yes  | sws96    |
| Super World Stadium '97          |  Yes  |  Yes  |   No  |  Yes  | sws97    |
| Super World Stadium '99          |  Yes  |  Yes  |Partial|  Yes  | sws99    |
| Super Zaxxon                     |  Yes  |  Yes  | Yes(2)|  Yes  | szaxxon  |
| Super-X                          |  Yes  |  Yes  |  Yes  |  Yes  | superx   |
| Superbike                        |  Yes  |  Yes  |Partial|   No  | superbik |
| Superior Soldiers                |  Yes  |  Yes  |Partial|  Yes  | ssoldier |
| Superman                         |  Yes  |  Yes  |  Yes  |  Yes  | superman |
| Surf Planet                      |  Yes  |  Yes  |  Yes  |  Yes  | surfplnt |
| Surprise Attack                  |  Yes  |  Yes  |  Yes  |  Yes  | suratk   |
| Survival                         |   No  |  Yes  |  Yes  |  Yes  | survival |
| Survival Arts                    |  Yes  |  Yes  |  Yes  |   No  | survarts |
| Susume! Taisen Puzzle-Dama       |  Yes  |  Yes  |Partial|  Yes  | susume   |
| Suzuka 8 Hours                   |  Yes  |  Yes  |  Yes  |  Yes  | suzuka8h |
| Suzuka 8 Hours 2                 |  Yes  |  Yes  |  Yes  |  Yes  | suzuk8h2 |
| Swimmer                          |  Yes  |  Yes  |  Yes  |  Yes  | swimmer  |
| Swinging Singles                 |   No  |  Yes  |   No  |  Yes  | ssingles |
| Syougi No Tatsujin - Master of Sy|  Yes  |  Yes  |  Yes  |  Yes  | mosyougi |
| Syusse Oozumou                   |  Yes  |  Yes  |  Yes  |  Yes  | ssozumo  |
| Syvalion                         |  Yes  |  Yes  |  Yes  |  Yes  | syvalion |
| T-MEK                            | No(1) |  Yes  |  Yes  |  Yes  | tmek     |
| T.N.K. III                       |  Yes  |  Yes  |  Yes  |   No  | tnk3     |
| TH Strikes Back                  |   No  |  Yes  |  Yes  |  Yes  | thoop2   |
| TX-1                             |   No  |  Yes  |Partial|  Yes  | tx1      |
| Tac/Scan                         |  Yes  |  Yes  | Yes(2)|  Yes  | tacscan  |
| Tactician                        |  Yes  |  Yes  |  Yes  |  Yes  | tactcian |
| Tail to Nose - Great Championship|  Yes  |  Yes  |  Yes  |   No  | tail2nos |
| Tailgunner                       |  Yes  |  Yes  | Yes(2)|  Yes  | tailg    |
| Taisen Hot Gimmick               |  Yes  |  Yes  |Partial|  Yes  | hotgmck  |
| Taisen Hot Gimmick 3 Digital Surf|  Yes  |  Yes  |Partial|  Yes  | hotgmck3 |
| Taisen Hot Gimmick Kairakuten    |  Yes  |  Yes  |Partial|  Yes  | hgkairak |
| Taisen Idol-Mahjong Final Romance|  Yes  |  Yes  |  Yes  |  Yes  | fromanc2 |
| Taisen Mahjong FinalRomance 4    |  Yes  |  Yes  |  Yes  |  Yes  | fromanc4 |
| Taisen Mahjong FinalRomance R    |  Yes  |  Yes  |  Yes  |  Yes  | fromancr |
| Taisen Puzzle-dama               |  Yes  |  Yes  |  Yes  |  Yes  | puzldama |
| Taisen Quiz HYHOO                |  Yes  |  Yes  |  Yes  |  Yes  | hyhoo    |
| Taisen Quiz HYHOO 2              |  Yes  |  Yes  |  Yes  |  Yes  | hyhoo2   |
| Taisen Tanto-R Sashissu!!        |   No  |  Yes  |   No  |  Yes  | sassisu  |
| Taisen Tokkae-dama               |  Yes  |  Yes  |  Yes  |  Yes  | tokkae   |
| Taito Cup Finals                 |  Yes  |  Yes  |  Yes  |  Yes  | cupfinal |
| Taito GNET                       |  Yes  |  Yes  |  Yes  |  Yes  | taitogn  |
| Taito Power Goal                 |  Yes  |  Yes  |  Yes  |  Yes  | pwrgoal  |
| Taiwan Chess Legend              |   No  |  Yes  |  Yes  |  Yes  | tcl      |
| Taiwan Mahjong [BET]             |  Yes  |  Yes  |  Yes  |  Yes  | taiwanmb |
| Takeda Shingen                   |  Yes  |  Yes  |  Yes  |  Yes  | tshingen |
| Talbot                           |   No  |  Yes  |  Yes  |  Yes  | talbot   |
| Tank 8                           |  Yes  |  Yes  |  Yes  |  Yes  | tank8    |
| Tank Battalion                   |  Yes  |  Yes  | Yes(2)|  Yes  | tankbatt |
| Tank Busters                     |  Yes  |  Yes  |  Yes  |  Yes  | tankbust |
| Tank Force                       |  Yes  |  Yes  |  Yes  |  Yes  | tankfrce |
| Tant-R                           |  Yes  |  Yes  |  Yes  |  Yes  | tantr    |
| Tao Taido                        |  Yes  |  Yes  |  Yes  |   No  | taotaido |
| Tapper                           |  Yes  |  Yes  |  Yes  |  Yes  | tapper   |
| Targ                             |  Yes  |  Yes  | Yes(2)|  Yes  | targ     |
| Target Ball                      |  Yes  |  Yes  |  Yes  |  Yes  | tgtball  |
| Target Hits                      |   No  |  Yes  |  Yes  |  Yes  | targeth  |
| Tarzan                           |   No  |  Yes  |   No  |  Yes  | tarzan   |
| Task Force Harrier               |   No  |  Yes  |  Yes  |  Yes  | tharrier |
| Tatakae! Big Fighter             |   No  |  Yes  |  Yes  |  Yes  | bigfghtr |
| Tattoo Assassins                 |  Yes  |  Yes  |  Yes  |  Yes  | tattass  |
| Taxi Driver                      |  Yes  |  Yes  |  Yes  |   No  | taxidrvr |
| Tazz-Mania                       |  Yes  |  Yes  |  Yes  |  Yes  | tazmania |
| Tech Romancer                    |  Yes  |  Yes  |Partial|  Yes  | techromn |
| Tecmo Bowl                       |  Yes  |  Yes  |Partial|  Yes  | tbowl    |
| Tecmo Bowl                       |  Yes  |  Yes  |  Yes  |  Yes  | pc_tbowl |
| Tecmo World Cup                  |  Yes  |  Yes  |  Yes  |  Yes  | mp_twc   |
| Tecmo World Cup '90              |  Yes  |  Yes  |Partial|   No  | wc90     |
| Tecmo World Cup '98              |   No  |  Yes  |Partial|  Yes  | twcup98  |
| Tecmo World Cup Millenium        |  Yes  |  Yes  |Partial|  Yes  | tecmowcm |
| Tecmo World Soccer '96           |  Yes  |  Yes  |  Yes  |  Yes  | tws96    |
| TeddyBoy Blues                   |  Yes  |  Yes  |  Yes  |  Yes  | teddybb  |
| Tee'd Off                        |  Yes  |  Yes  |  Yes  |  Yes  | teedoff  |
| Teenage Mutant Ninja Turtles     |  Yes  |  Yes  |  Yes  |  Yes  | tmnt     |
| Teenage Mutant Ninja Turtles     |  Yes  |  Yes  |  Yes  |  Yes  | pc_tmnt  |
| Teenage Mutant Ninja Turtles - Tu|   No  |  Yes  |  Yes  |  Yes  | tmnt2    |
| Teenage Mutant Ninja Turtles II: |  Yes  |  Yes  |  Yes  |  Yes  | pc_tmnt2 |
| Tehkan World Cup                 |  Yes  |  Yes  |  Yes  |  Yes  | tehkanwc |
| Teki Paki                        |  Yes  |  Yes  |   No  |  Yes  | tekipaki |
| Tekken                           |  Yes  |  Yes  |   No  |  Yes  | tekken   |
| Tekken 2 Ver.B                   |  Yes  |  Yes  |   No  |  Yes  | tekken2  |
| Tekken 3                         |  Yes  |  Yes  |Partial|  Yes  | tekken3  |
| Tekken Tag Tournament            |   No  |  Yes  |Partial|  Yes  | tekkentt |
| Tel Jan                          |  Yes  |  Yes  |  Yes  |  Yes  | teljan   |
| Telephone Mahjong                |  Yes  |  Yes  |  Yes  |  Yes  | telmahjn |
| Tempest                          |  Yes  |  Yes  |  Yes  |  Yes  | tempest  |
| Tengai / Sengoku Blade: Sengoku A|  Yes  |  Yes  |  Yes  |  Yes  | tengai   |
| Tennis                           |  Yes  |  Yes  |  Yes  |  Yes  | pc_tenis |
| Tenth Degree                     |  Yes  |  Yes  |  Yes  |  Yes  | tenthdeg |
| Terminator 2 - Judgment Day      |  Yes  |  Yes  |  Yes  |  Yes  | term2    |
| Terra Cresta                     |  Yes  |  Yes  |  Yes  |  Yes  | terracre |
| Terra Force                      |   No  |  Yes  |  Yes  |  Yes  | terraf   |
| Terranean                        |  Yes  |  Yes  |  Yes  |  Yes  | cterrani |
| Test Tape                        |  Yes  |  Yes  |  Yes  |  Yes  | ctsttape |
| Tetris                           |   No  |  Yes  |  Yes  |  Yes  | mt_tetri |
| Tetris                           |  Yes  |  Yes  |  Yes  |  Yes  | tetris   |
| Tetris                           |  Yes  |  Yes  |  Yes  |  Yes  | atetris  |
| Tetris Plus                      |  Yes  |  Yes  |Partial|  Yes  | tetrisp  |
| Tetris Plus 2                    |  Yes  |  Yes  |  Yes  |  Yes  | tetrisp2 |
| Tetris The Grand Master          |  Yes  |  Yes  |Partial|  Yes  | tgmj     |
| Thief                            |  Yes  |  Yes  | Yes(2)|  Yes  | thief    |
| Thrash Rally                     |  Yes  |  Yes  |  Yes  |  Yes  | trally   |
| Three Stooges In Brides Is Brides|  Yes  |  Yes  |Partial|  Yes  | 3stooges |
| Three Wonders                    |  Yes  |  Yes  |  Yes  |  Yes  | 3wonders |
| Thrill Drive                     |   No  |  Yes  |   No  |  Yes  | thrilld  |
| Thunder & Lightning              |  Yes  |  Yes  |  Yes  |  Yes  | thunderl |
| Thunder Blade                    |  Yes  |  Yes  |  Yes  |  Yes  | thndrbld |
| Thunder Ceptor                   |  Yes  |  Yes  |  Yes  |  Yes  | tceptor  |
| Thunder Cross                    |  Yes  |  Yes  |  Yes  |  Yes  | thunderx |
| Thunder Cross II                 |  Yes  |  Yes  |  Yes  |  Yes  | thndrx2  |
| Thunder Dragon                   | No(1) |  Yes  |Partial|  Yes  | tdragon  |
| Thunder Dragon 2                 |  Yes  |  Yes  |  Yes  |   No  | tdragon2 |
| Thunder Force II MD              |   No  |  Yes  |  Yes  |  Yes  | mt_tfor2 |
| Thunder Fox                      |  Yes  |  Yes  |  Yes  |  Yes  | thundfox |
